x,y,species cloglog values
1.0,1.0,0.36167365
2.0,2.0,0.58905303
3.0,3.0,0.4179869
4.0,4.0,0.32846978
5.0,5.0,0.22559945
6.0,6.0,0.79859513
7.0,7.0,0.3283896
8.0,8.0,0.29027203
9.0,9.0,0.23501259
10.0,10.0,0.5469982
11.0,11.0,0.36977783
12.0,12.0,0.3922242
13.0,13.0,0.6168801
14.0,14.0,0.4603358
15.0,15.0,0.15007864
16.0,16.0,0.22325514
17.0,17.0,0.5460787
18.0,18.0,0.35560194
19.0,19.0,0.22691284
20.0,20.0,0.1850476
21.0,21.0,0.2396804
22.0,22.0,0.23735875
23.0,23.0,0.728063
24.0,24.0,0.25554463
25.0,25.0,0.42400467
26.0,26.0,0.22720584
27.0,27.0,0.36933833
28.0,28.0,0.31665376
29.0,29.0,0.73632437
30.0,30.0,0.2338232
31.0,31.0,0.34420148
32.0,32.0,0.3802849
33.0,33.0,0.36757845
34.0,34.0,0.1957768
35.0,35.0,0.20119607
36.0,36.0,0.47334665
37.0,37.0,0.3021736
38.0,38.0,0.66474783
39.0,39.0,0.33709505
40.0,40.0,0.53836364
41.0,41.0,0.52458155
42.0,42.0,0.40090987
