x,y,raw,cumulative,Cloglog
1.0,1.0,3.824E-3,6.10001468,0.36167365
2.0,2.0,7.57542E-3,28.013272444,0.589053058
3.0,3.0,4.61074E-3,10.23230448,0.417986897
4.0,4.0,3.39203E-3,4.6336672,0.328469797
5.0,5.0,2.17789E-3,1.122792429,0.225599451
6.0,6.0,1.36504E-2,95.386762919,0.798595116
7.0,7.0,3.39102E-3,4.294463966,0.328389604
8.0,8.0,2.92077E-3,3.024379137,0.290272015
9.0,9.0,2.28207E-3,2.016675637,0.235012593
10.0,10.0,6.74545E-3,21.575253021,0.546998208
11.0,11.0,3.93284E-3,7.276305905,0.369777833
12.0,12.0,4.24178E-3,9.33479131,0.392224188
13.0,13.0,8.1727E-3,38.259926771,0.616880109
14.0,14.0,5.25428E-3,12.256962981,0.460335794
15.0,15.0,1.3852E-3,0.138520448,0.150078634
16.0,16.0,2.15214E-3,0.905003492,0.223255137
17.0,17.0,6.72817E-3,20.900708302,0.546078675
18.0,18.0,3.74335E-3,5.717614745,0.355601931
19.0,19.0,2.19235E-3,1.342027339,0.226912844
20.0,20.0,1.7431E-3,0.312830605,0.185047603
21.0,21.0,2.33421E-3,2.480919831,0.239680389
22.0,22.0,2.30824E-3,2.247499154,0.237358751
23.0,23.0,1.10927E-2,67.469745427,0.728063015
24.0,24.0,2.51383E-3,2.732302579,0.255544622
25.0,25.0,4.69928E-3,10.70223202,0.424004661
26.0,26.0,2.19558E-3,1.561585168,0.22720585
27.0,27.0,3.9269E-3,6.883021662,0.369338321
28.0,28.0,3.24345E-3,3.955362452,0.316653745
29.0,29.0,1.13555E-2,71.962173617,0.736324391
30.0,30.0,2.26884E-3,1.788468692,0.233823195
31.0,31.0,3.59397E-3,5.343279252,0.344201463
32.0,32.0,4.07606E-3,8.086563234,0.380284902
33.0,33.0,3.90317E-3,6.490331284,0.367578462
34.0,34.0,1.856E-3,0.4984302,0.195776798
35.0,35.0,1.91359E-3,0.689789431,0.201196076
36.0,36.0,5.46217E-3,13.33203015,0.473346658
37.0,37.0,3.06483E-3,3.63101777,0.302173619
38.0,38.0,9.30962E-3,52.971779793,0.664747825
39.0,39.0,3.50215E-3,4.983882624,0.337095059
40.0,40.0,6.58461E-3,19.556340991,0.538363609
41.0,41.0,6.33401E-3,16.960734739,0.524581541
42.0,42.0,4.36439E-3,9.771230543,0.400909874
